Date,BTC Closing Value
"Feb 01, 2022","34,125.35"
"Jan 31, 2022","34,270.42"
"Jan 30, 2022","33,999.80"
"Jan 29, 2022","34,206.48"
"Jan 28, 2022","33,889.11"
"Jan 27, 2022","33,324.29"
"Jan 26, 2022","32,783.68"
"Jan 25, 2022","32,693.35"
"Jan 24, 2022","32,369.33"
"Jan 23, 2022","31,986.82"
